PERMIT NUMBER,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,PAYMENT DATE,ADDRESS,ADDRESS NUMBER START,ADDRESS NUMBER,STREET DIRECTION,STREET,STREET TYPE,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE,LOCATION
1144196,369507,1,"KAT'S I, INC.",Paulines,02/24/2020,05/31/2021,02/24/2020,1752-1754 W BALMORAL AVE,1752,1752-1754,W,BALMORAL,AVE,CHICAGO,IL,60640,40,41,40-41,20,41.979860939,-87.67420413,"(41.97986093909706, -87.67420413029149)"
1144197,4463,1,"BURTON PLACE, INC.",BURTON PLACE,05/29/2020,05/31/2021,05/22/2020,1447 N WELLS ST,1447,1447,N,WELLS,ST,CHICAGO,IL,,27,54,27-54,18,41.909029736,-87.634496663,"(41.909029735838615, -87.63449666286718)"
1144199,294753,1,FULTON PEORIA PARTNERS LLC,EMPORIUM FULTON MARKET,03/12/2020,05/31/2021,03/12/2020,845 W FULTON MARKET,845,845,W,FULTON MARKET,,CHICAGO,IL,60607,27,1,27-1,12,41.886665089,-87.649255132,"(41.8866650892547, -87.64925513167934)"
1144200,391304,1,PILSEN BREAKFAST & GRILL CORP.,FRIDA ROOM,07/07/2020,05/31/2021,06/12/2020,1454 W 18TH ST,1454,1454,W,18TH,ST,CHICAGO,,60608,25,24,25-24,12,41.857947179,-87.663537267,"(41.857947179176456, -87.66353726681123)"
1144204,393306,1,Erie Street Stans LLC,Stans Donuts Erie Street,04/10/2020,05/31/2021,02/27/2020,259 E ERIE ST,259,259,E,ERIE,ST,CHICAGO,IL,60611,42,41,42-41,18,41.894085381,-87.62040431,"(41.894085380663164, -87.62040431002175)"
1144205,422971,1,"BC DIVISION, INC.",BONCHON,04/15/2020,05/31/2021,03/31/2020,1732 W DIVISION ST,1732,1732,W,DIVISION,ST,CHICAGO,,60622,1,21,1-21,14,41.903392062,-87.671376684,"(41.90339206172967, -87.67137668381264)"
1144207,63203,2,"TOONS, INC.",TOON'S BAR & GRILL,03/03/2020,05/31/2021,03/03/2020,3857 N SOUTHPORT AVE,3857,3857,N,SOUTHPORT,AVE,CHICAGO,IL,60613,44,25,44-25,19,41.952401641,-87.664018273,"(41.95240164062764, -87.66401827319031)"
1144208,20972,2,SORANO INC.,LETIZA'S NATURAL BAKERY / ENOTECA ROMA,03/05/2020,05/31/2021,03/05/2020,2144-2146 W DIVISION ST,2144,2144-2146,W,DIVISION,ST,CHICAGO,IL,60622,2,3,2-3,14,41.903226756,-87.681491222,"(41.90322675560009, -87.68149122224041)"
1144209,18220,1,"1240 N. WELLS, INC.",DECLAN'S IRISH PUB,02/28/2020,05/31/2021,02/27/2020,1240 N WELLS ST,1240,1240,N,WELLS,ST,CHICAGO,IL,60610,2,30,2-30,18,41.905048794,-87.634668656,"(41.90504879370209, -87.63466865633622)"
1144210,285789,1,"TALBOTT ASSOCIATES, LP",20 EAST,05/22/2020,05/31/2021,03/05/2020,10-20 E DELAWARE PL,10,10-20,E,DELAWARE,PL,CHICAGO,IL,60611,42,61,42-61,18,41.899255056,-87.627834638,"(41.89925505559848, -87.62783463799146)"
1144211,424177,1,JACKSON MARKET LLC,BEATRIX MARKET,03/04/2020,05/31/2021,03/04/2020,23 E JACKSON BLVD,23,23,E,JACKSON,BLVD,CHICAGO,,60604,4,21,4-21,1,41.878118514,-87.62680983,"(41.87811851405508, -87.62680983020252)"
1144221,63414,44,STARBUCKS CORPORATION,STARBUCKS COFFEE #2310,04/10/2020,05/31/2021,02/28/2020,5300 N CLARK ST,5300,5300,N,CLARK,ST,CHICAGO,IL,60640,40,43,40-43,20,41.978066283,-87.668495747,"(41.97806628334609, -87.66849574710783)"
1144234,202047,1,"Rose East, Inc.",Rosebud Steakhouse,03/03/2020,05/31/2021,03/03/2020,192 E WALTON PL,192,192,E,WALTON,PL,CHICAGO,IL,60611,2,29,2-29,18,41.900150069,-87.622146745,"(41.900150068517426, -87.62214674513696)"
1144235,85994,2,"ROSE RUSH, INC.",ROSEBUD-RUSH,03/03/2020,05/31/2021,03/03/2020,55 E SUPERIOR ST,55,55,E,SUPERIOR,ST,CHICAGO,IL,60611,42,19,42-19,18,41.89560412,-87.625977253,"(41.89560412039595, -87.62597725330832)"
1144236,15042,3,"CARMINE'S CLAM HOUSE, INC.",CARMINE'S,03/03/2020,05/31/2021,03/03/2020,1043 N RUSH ST,1043,1043,N,RUSH,ST,CHICAGO,IL,60611,42,1,42-1,18,41.902091807,-87.627992763,"(41.90209180660765, -87.62799276252716)"
1144237,85931,3,GAMA INC,ROSEBUD CAFE,03/03/2020,05/31/2021,03/03/2020,1500 W TAYLOR ST,1500,1500,W,TAYLOR,ST,CHICAGO,IL,,28,29,28-29,12,41.869409054,-87.66419709,"(41.86940905403705, -87.66419709016535)"
1144238,427301,1,ONION CERMAK ENTERPRISES LLC,FATPOUR TAP WORKS,03/04/2020,05/31/2021,03/04/2020,2206 S INDIANA AVE,2206,2206,S,INDIANA,AVE,CHICAGO,,60616,3,17,3-17,1,41.852637001,-87.622408701,"(41.85263700127411, -87.62240870131416)"
1144239,9244,19,TRATTORIA PIZZERIA ROMA INC.,WOODIE'S FLAT,03/04/2020,05/31/2021,03/04/2020,1535 N WELLS ST,1535,1535,N,WELLS,ST,CHICAGO,IL,60610,27,54,27-54,18,41.910189525,-87.634533167,"(41.91018952506366, -87.63453316663663)"
1144241,365841,2,"ONION DIVISION ENTERPRISES, LLC",FAT POUR,03/04/2020,05/31/2021,03/04/2020,2005-2007 W DIVISION ST,2005,2005-2007,W,DIVISION,ST,CHICAGO,IL,60622,1,3,1-3,12,41.903076749,-87.677527824,"(41.903076748534474, -87.67752782419221)"
1144242,258836,1,WHITE LODGING SERVICES CORPORATION,COURTYARD BY MARRIOTT,03/06/2020,05/31/2021,02/28/2020,165 E ONTARIO ST,165,165,E,ONTARIO,ST,CHICAGO,IL,60611,42,53,42-53,18,41.893251246,-87.622791844,"(41.89325124631192, -87.62279184406287)"
1144243,17500,1,"ENTROPY, INC.",FOUR MOON TAVERN,03/03/2020,05/31/2021,03/03/2020,1847 W ROSCOE ST,1847,1847,W,ROSCOE,ST,CHICAGO,IL,60657,47,9,47-9,19,41.943140963,-87.675707395,"(41.94314096316059, -87.67570739466916)"
1144245,407761,1,"GODDESS AND THE BAKER WACKER, LLC",GODDESS AND THE BAKER,06/10/2020,05/31/2021,05/20/2020,225 N LA SALLE ST,225,225,N,LA SALLE,ST,CHICAGO,IL,60601,42,9,42-9,1,41.886404721,-87.632321714,"(41.88640472146675, -87.63232171448688)"
1144246,456176,1,"WABASH FOODS, INC.",POPEYES CHICKEN,03/09/2020,05/31/2021,03/09/2020,156 N WABASH AVE,156,156,N,WABASH,AVE,CHICAGO,,60601,42,10,42-10,1,41.884714877,-87.626400132,"(41.88471487688737, -87.62640013225639)"
1144247,346165,1,"SNOUTS, INC.",OSTERIA LANGHE,02/28/2020,05/31/2021,02/28/2020,2824 W ARMITAGE AVE,2824,2824,W,ARMITAGE,AVE,CHICAGO,IL,,1,36,1-36,14,41.917589594,-87.698252898,"(41.917589593585454, -87.69825289828418)"
1144248,375950,1,CHRISJOAN LLC,ALEGRIAS SEAFOOD,03/12/2020,05/31/2021,03/12/2020,1024 N ASHLAND AVE,1024,1024,N,ASHLAND,AVE,CHICAGO,IL,60622,1,2,1-2,12,41.900452559,-87.667560098,"(41.90045255936403, -87.66756009821935)"
1144249,16085,3,"FOREGIVENESS, INC.",MAPLE & ASH/ EIGHT BAR,07/10/2020,05/31/2021,03/05/2020,6-8 W MAPLE ST,6,6-8,W,MAPLE,ST,CHICAGO,IL,60610,2,60,2-60,18,41.901990808,-87.628593803,"(41.90199080838916, -87.62859380325996)"
1144254,18563,5,VOLARE ASSOCIATES LIMITED. PARTNER,VOLARE,02/28/2020,05/31/2021,02/28/2020,201-205 E GRAND AVE,201,201-205,E,GRAND,AVE,CHICAGO,IL,60611,42,41,42-41,18,41.891652214,-87.622603814,"(41.89165221441017, -87.62260381408842)"
1144256,15078,1,NORTH SHEFFIELD INC,VAUGHAN'S PUB,03/11/2020,05/31/2021,03/11/2020,2917 N SHEFFIELD AVE,2917,2917,N,SHEFFIELD,AVE,CHICAGO,IL,60657,44,29,44-29,19,41.935002358,-87.653792375,"(41.93500235831336, -87.65379237472023)"
1144257,298732,1,"35 EAST WACKER RESTAURANT, LLC",EMERALD LOOP BAR & GRILL,03/10/2020,05/31/2021,03/10/2020,216 N WABASH AVE,216,216,N,WABASH,AVE,CHICAGO,IL,60601,42,9,42-9,1,41.886211489,-87.62645226,"(41.88621148929766, -87.62645225955077)"
1144258,11391,1,THE LAST ACT COMPANY,CORCORAN'S GRILL & PUB,03/13/2020,05/31/2021,03/12/2020,1615 N WELLS ST,1615,1615,N,WELLS,ST,CHICAGO,IL,60614,2,4,2-4,18,41.911618998,-87.634577956,"(41.91161899845945, -87.63457795637794)"
1144266,425042,1,RN PIZZA VENTURES LLC,PARLOR PIZZA BAR,05/13/2020,05/31/2021,04/27/2020,20 W KINZIE ST,20,20,W,KINZIE,ST,CHICAGO,,60654,42,25,42-25,18,41.889352033,-87.62884885,"(41.889352033013864, -87.62884885027287)"
1144267,416351,1,SIREN RETAIL CORPORATION,PRINCI,02/27/2020,05/31/2021,02/26/2020,1000 - 1002 W RANDOLPH ST,1000,1000 - 1002,W,RANDOLPH,ST,CHICAGO,,60607,27,16,27-16,12,41.884434965,-87.652165547,"(41.88443496492766, -87.6521655467081)"
1144268,412338,1,HILTON MANAGEMENT LLC,CHICAGO HILTON & TOWERS,03/03/2020,05/31/2021,03/03/2020,720 S MICHIGAN AVE,720,720,S,MICHIGAN,AVE,CHICAGO,IL,60605,4,18,4-18,1,41.872798869,-87.62433781,"(41.87279886935482, -87.62433781031022)"
1144269,402971,1,"CENTENNIAL CHICAGO, LLC",CENTENNIAL CRAFTED BEER & EATERY,05/13/2020,05/31/2021,03/04/2020,733 N LA SALLE DR,733,733,N,LA SALLE,DR,CHICAGO,IL,60654,2,57,2-57,18,41.895740116,-87.632546348,"(41.89574011574603, -87.63254634833253)"
1144270,267891,35,FAZAL DEVELOPMENT NETWORK INC,SUBWAY #26771,08/04/2020,05/31/2021,07/16/2020,35 W VAN BUREN ST,35,35,W,VAN BUREN,ST,CHICAGO,IL,60605,4,49,4-49,1,41.876794686,-87.628999061,"(41.87679468592167, -87.62899906139144)"
1144271,397471,1,WINDY CITY RESTAURANT MANAGEMENT LLC - SERIES BL UNIVERSITY VILLAGE,BAR LOUIE,05/29/2020,05/31/2021,05/27/2020,1325 S HALSTED ST,1325,1325,S,HALSTED,ST,CHICAGO,IL,60607,11,3,11-3,12,41.864755663,-87.646699179,"(41.86475566339389, -87.64669917908263)"
1144272,267891,15,FAZAL DEVELOPMENT NETWORK INC,Subway 24453,08/04/2020,05/31/2021,07/16/2020,66 E WASHINGTON ST,66,66,E,WASHINGTON,ST,CHICAGO,IL,60602,42,9,42-9,1,41.883331979,-87.625458828,"(41.883331978623964, -87.62545882753577)"
1144273,267891,19,FAZAL DEVELOPMENT NETWORK INC,Subway 7709,08/04/2020,05/31/2021,07/16/2020,177 N WELLS ST,177,177,N,WELLS,ST,CHICAGO,IL,60606,42,9,42-9,1,41.885257194,-87.633769796,"(41.88525719405359, -87.63376979601067)"
1144276,63784,1,"PUB FESTIVALS, INC.",LOTTIE'S PUB,06/25/2020,05/31/2021,06/10/2020,1925 W CORTLAND ST,1925,1925,W,CORTLAND,ST,CHICAGO,IL,60622,32,31,32-31,14,41.91585488,-87.676217909,"(41.915854880451626, -87.6762179092616)"
1144277,12015,2,"BELMONT LOUNGE, INC.",THE PONY INN,06/17/2020,05/31/2021,06/10/2020,1638 W BELMONT AVE,1638,1638,W,BELMONT,AVE,CHICAGO,IL,,47,38,47-38,19,41.939784949,-87.670220318,"(41.939784949082046, -87.67022031784894)"
1144279,4488,1,"GOLDEN STAR RESTAURANT, INC.",GOLDEN APPLE RESTAURANT,02/27/2020,05/31/2021,02/27/2020,2971 N LINCOLN AVE,2971,2971,N,LINCOLN,AVE,CHICAGO,IL,60657,32,8,32-8,19,41.935977772,-87.66328493,"(41.93597777175416, -87.66328492986464)"
1144281,405088,3,"ROTI RESTAURANTS, LLC",ROTI MODERN MEDITERRANEAN,03/13/2020,05/31/2021,03/09/2020,1526 E 53RD ST,1526,1526,E,53RD,ST,CHICAGO,IL,60615,4,47,4-47,2,41.799662004,-87.588003399,"(41.79966200376594, -87.58800339873723)"
1144282,414509,1,BOKA 564 LLC,THE BELLEMORE,03/09/2020,05/31/2021,03/05/2020,564 W RANDOLPH ST,564,564,W,RANDOLPH,ST,CHICAGO,,60661,42,41,42-41,1,41.884543398,-87.642331387,"(41.884543397737836, -87.64233138672651)"
1144283,63414,33,STARBUCKS CORPORATION,STARBUCKS COFFEE #282,04/10/2020,05/31/2021,02/28/2020,555 S DEARBORN ST,555,555,S,DEARBORN,ST,CHICAGO,IL,,4,49,4-49,1,41.874662881,-87.629065289,"(41.874662880779674, -87.62906528869487)"
1144284,369504,17,"COFFEE HOUSE HOLDINGS, INC.",STARBUCKS COFFEE #226,02/28/2020,05/31/2021,02/28/2020,1530 E 53RD ST,1530,1530,E,53RD,ST,CHICAGO,IL,60615,4,47,4-47,2,41.799667123,-87.587814524,"(41.79966712287017, -87.58781452378159)"
1144285,63414,93,STARBUCKS CORPORATION,STARBUCKS COFFEE  #2635,04/10/2020,05/31/2021,02/28/2020,4753 N BROADWAY,4753,4753,N,BROADWAY,,CHICAGO,IL,60640,46,40,46-40,19,41.968723711,-87.659414087,"(41.96872371055819, -87.65941408749583)"
1144286,20259,4,BURRITO BEACH L. L. C.,BURRITO BEACH # 8,03/17/2020,05/31/2021,03/17/2020,200 E OHIO ST,200,200,E,OHIO,ST,CHICAGO,IL,60611,42,41,42-41,18,41.892671291,-87.622572202,"(41.89267129068561, -87.62257220248128)"
1144287,430752,1,"FOREST AND GROVE, LLC",REAL GOOD STUFF CO.,07/23/2020,05/31/2021,06/11/2020,701 N WELLS ST,701,701,N,WELLS,ST,CHICAGO,,60654,42,39,42-39,18,41.894834907,-87.634006773,"(41.89483490659962, -87.63400677317374)"
1144288,63726,1,OAK GINO'S INC.,GINO'S EAST OF CHICAGO,06/10/2020,05/31/2021,03/11/2020,521 S DEARBORN ST,521,521,S,DEARBORN,ST,CHICAGO,IL,60605,4,49,4-49,1,41.875237557,-87.629077845,"(41.87523755678771, -87.62907784469319)"
1144289,10229,1,NEAR NO. EDWARDO'S INC,EDWARDO'S PIZZA,06/09/2020,05/31/2021,09/21/2020,1212 N DEARBORN ST,1212,1212,N,DEARBORN,ST,CHICAGO,IL,60610,2,36,2-36,18,41.90434217,-87.630145246,"(41.90434217031261, -87.63014524551966)"
1144290,335912,1,"THE CROSS ROADS BAR & GRILL, LLC",THE CROSS ROADS BAR & GRILL,05/13/2020,05/31/2021,03/09/2020,1120-1124 W MADISON ST,1120,1120-1124,W,MADISON,ST,CHICAGO,IL,60607,25,7,25-7,12,41.881760499,-87.655324249,"(41.88176049885646, -87.6553242489432)"
1144291,377784,1,"NORTH BUENA MARKET, INC.",NORTH BUENA MARKET,03/17/2020,05/31/2021,03/09/2020,4200 N BROADWAY,4200,4200,N,BROADWAY,,CHICAGO,IL,60613,46,25,46-25,19,41.958483563,-87.653214489,"(41.95848356330247, -87.65321448916944)"
1144292,362492,2,MENSCH AND MENSCH LLC,PORT & PARK BISTRO AND BAR,03/18/2020,05/31/2021,03/05/2020,4000-4006 N SOUTHPORT AVE,4000,4000-4006,N,SOUTHPORT,AVE,CHICAGO,IL,60613,47,24,47-24,19,41.954399623,-87.664363095,"(41.95439962284545, -87.66436309454507)"
1144295,303796,1,"BG EAST, LLC",GINO'S EAST PIZZERIA,09/03/2020,05/31/2021,03/12/2020,160-64 E SUPERIOR ST,160,160-64,E,SUPERIOR,ST,CHICAGO,IL,60611,2,38,2-38,18,41.895862946,-87.62325304,"(41.89586294629618, -87.62325304021789)"
1144296,3775,1,"BUFFOONS, INC.",THE GLOBE PUB,03/18/2020,05/31/2021,03/05/2020,1934 W IRVING PARK RD,1934,1934,W,IRVING PARK,RD,CHICAGO,IL,60613,47,12,47-12,19,41.954279903,-87.677732167,"(41.95427990254856, -87.67773216663062)"
1144297,328992,1,THE LIFEWAY KEFIR SHOP LLC,LIFEWAY KEFIR SHOP,03/04/2020,05/31/2021,03/03/2020,1745 W DIVISION ST,1745,1745,W,DIVISION,ST,CHICAGO,IL,60622,1,47,1-47,12,41.903168562,-87.671644951,"(41.90316856226991, -87.67164495069692)"
1144298,266211,1,"CHICAGO STONEHENGE, INC.",SWIG,06/09/2020,05/31/2021,06/08/2020,1469 N MILWAUKEE AVE,1469,1469,N,MILWAUKEE,AVE,CHICAGO,IL,60622,1,21,1-21,14,41.908689503,-87.674604558,"(41.90868950334511, -87.67460455772613)"
1144299,276924,1,BRIDGEPORT COFFEE HOUSE INC,BRIDGEPORT COFFEE HOUSE INC,03/18/2020,05/31/2021,03/05/2020,3101 S MORGAN ST,3101,3101,S,MORGAN,ST,CHICAGO,IL,60608,11,5,11-5,9,41.837942966,-87.650992722,"(41.83794296556336, -87.65099272245669)"
1144300,424706,1,PASTA BOWL 102 LLC,THE PASTA BOWL,04/03/2020,05/31/2021,03/31/2020,4343 N LINCOLN AVE,4343,4343,N,LINCOLN,AVE,CHICAGO,,60618,47,28,47-28,19,41.960748173,-87.683219595,"(41.960748173453155, -87.6832195947632)"
1144301,63608,2,FREDDIE'S INC.,FREDDIES,08/06/2020,05/31/2021,04/08/2020,701 W 31ST ST,701,701,W,31ST,ST,CHICAGO,IL,60616,11,41,11-41,9,41.837965787,-87.643906727,"(41.83796578686669, -87.64390672735786)"
1144302,350215,1,"REINS INTERNATIONAL CHICAGO, INC.",GYU-KAKU RESTAURANT,08/20/2020,05/31/2021,03/04/2020,210 E OHIO ST,210,210,E,OHIO,ST,CHICAGO,IL,60611,42,41,42-41,18,41.892677172,-87.622194494,"(41.89267717185467, -87.62219449447267)"
1144303,350215,2,"REINS INTERNATIONAL CHICAGO, INC.",GYU-KAKU RESTAURANT,08/20/2020,05/31/2021,03/04/2020,1364 W RANDOLPH ST,1364,1364,W,RANDOLPH,ST,CHICAGO,IL,60607,27,33,27-33,12,41.884288898,-87.661279418,"(41.88428889843475, -87.66127941800869)"
1144305,420746,1,"ONWARD MSO, LLC",ONWARD,09/17/2020,05/31/2021,09/16/2020,6580 N SHERIDAN RD,6580,6580,N,SHERIDAN,RD,CHICAGO,,60626,49,7,49-7,24,42.00227908,-87.660917809,"(42.00227908047883, -87.6609178091671)"
1144306,220603,1,"SLA UNO, INC.",PIZZERIA UNO CHICAGO BAR & GRILL,06/10/2020,05/31/2021,03/02/2020,29 E OHIO ST,29,29,E,OHIO,ST,CHICAGO,IL,60611,42,22,42-22,18,41.892383417,-87.626804787,"(41.89238341663872, -87.6268047865619)"
1144312,18847,2,SUSHI NANIWA INC,BAR CARGO,03/10/2020,05/31/2021,03/10/2020,605 - 607 N WELLS ST,605,605 - 607,N,WELLS,ST,CHICAGO,,60654,42,39,42-39,18,41.892574337,-87.633948801,"(41.8925743372172, -87.63394880128168)"
1144313,404059,1,180 N MICHIGAN AVE HOSPITALITY MANAGEMENT LLC,BROKEN ENGLISH TACO PUB,03/10/2020,05/31/2021,03/10/2020,75 E LAKE ST,75,75,E,LAKE,ST,CHICAGO,IL,60601,42,9,42-9,1,41.885624255,-87.625296495,"(41.88562425462461, -87.6252964950646)"
1144314,64797,2,1031 RUSH LP,TAVERN ON RUSH,03/10/2020,05/31/2021,03/10/2020,1031 N RUSH ST,1031,1031,N,RUSH,ST,CHICAGO,IL,60611,42,1,42-1,18,41.901642657,-87.627773404,"(41.90164265712363, -87.62777340422664)"
1144315,86100,14,"KONISAN, INC.",Broken English Taco Pub Old Town,03/10/2020,05/31/2021,03/10/2020,1400 N WELLS ST,1400,1400,N,WELLS,ST,CHICAGO,IL,60610,27,42,27-42,18,41.907738477,-87.634754618,"(41.90773847735842, -87.63475461836646)"
1144316,358955,3,ETNO GROUP LLC,BROKEN ENGLISH TACO PUB - LINCOLN PARK,03/10/2020,05/31/2021,03/10/2020,2574-2580 N LINCOLN AVE,2574,2574-2580,N,LINCOLN,AVE,CHICAGO,IL,60614,43,2,43-2,19,41.928692603,-87.653517681,"(41.92869260320378, -87.65351768088021)"
1144317,369301,1,"2114 W. DIVISION STREET, LLC",OSTERIA RUSTICANA,02/28/2020,05/31/2021,02/28/2020,2114 W DIVISION ST,2114,2114,W,DIVISION,ST,CHICAGO,IL,60622,2,3,2-3,14,41.903245759,-87.680355265,"(41.90324575893042, -87.68035526472148)"
1144318,349143,1,"FRENCH MARKET OF CHICAGO, LLC",CHICAGO FRENCH MARKET,03/13/2020,05/31/2021,03/12/2020,131 N CLINTON ST,131,131,N,CLINTON,ST,CHICAGO,IL,,42,21,42-21,1,41.884187507,-87.641119667,"(41.884187507127805, -87.64111966683218)"
1144319,251283,1,3407 PAULINA INC.,WATERHOUSE TAVERN AND GRILL,09/09/2020,05/31/2021,07/06/2020,3407 N PAULINA ST,3407,3407,N,PAULINA,ST,CHICAGO,IL,60657,47,22,47-22,19,41.943573369,-87.671058765,"(41.943573368986044, -87.67105876456185)"
1144320,6126,1,MONSIGNOR MURPHY'S INC,MONSIGNOR MURPHY'S,03/05/2020,05/31/2021,03/05/2020,3019 N BROADWAY,3019,3019,N,BROADWAY,,CHICAGO,IL,60657,44,5,44-5,19,41.93708671,-87.644154318,"(41.93708671022796, -87.6441543182686)"
1144321,276172,1,"MORTON'S OF CHICAGO/ WACKER PLACE, LLC",MORTON'S STEAKHOUSE-WACKER PLACE,06/22/2020,05/31/2021,06/17/2020,65 E WACKER PL,65,65,E,WACKER,PL,CHICAGO,IL,60601,42,9,42-9,1,41.88670423,-87.625496374,"(41.886704230249315, -87.62549637410729)"
1144322,353266,2,"THE HUBBARD HOUSE RESTAURANT, LLC",HUBBARD INN,07/09/2020,05/31/2021,05/26/2020,110 W HUBBARD ST,110,110,W,HUBBARD,ST,CHICAGO,IL,60654,42,46,42-46,18,41.890123938,-87.631596659,"(41.89012393802728, -87.63159665930549)"
1144323,277999,1,"SBDTIMESTWO, INC.",ESSENCE OF INDIA,07/02/2020,05/31/2021,07/01/2020,4601 N LINCOLN AVE,4601,4601,N,LINCOLN,AVE,CHICAGO,IL,60625,47,33,47-33,19,41.964997093,-87.686013819,"(41.964997092897626, -87.68601381879759)"
1144324,6526,1,"TOPO GIGIO, INC.",TOPO GIGIO RISTORANTE,03/10/2020,05/31/2021,03/10/2020,1514-16 N WELLS ST,1514,1514-16,N,WELLS,ST,CHICAGO,IL,60610,27,42,27-42,18,41.909637819,-87.634809411,"(41.90963781889213, -87.6348094114575)"
1144325,405182,1,SF 55 LLC,SUGAR FACTORY,03/04/2020,05/31/2021,03/04/2020,55 E GRAND AVE,55,55,E,GRAND,AVE,CHICAGO,IL,60611,42,22,42-22,18,41.891590741,-87.625867137,"(41.891590741083505, -87.62586713724458)"
1144327,398532,1,"CHINESE GOAT, LLC",DUCK DUCK GOAT,03/09/2020,05/31/2021,03/05/2020,851-857 W FULTON MARKET,851,851-857,W,FULTON MARKET,,CHICAGO,IL,60607,27,1,27-1,12,41.886661523,-87.649517727,"(41.88666152304835, -87.6495177271827)"
1144328,379551,1,SOFI LLC,SOFI LLC,06/01/2020,05/31/2021,05/02/2020,616 S DEARBORN ST,616,616,S,DEARBORN,ST,CHICAGO,IL,60605,4,54,4-54,1,41.87423458,-87.629356443,"(41.87423457984985, -87.62935644330602)"
1144329,324357,3,"HUBBARD STEAK, LLC",PARLAY AT JOY DISTRICT,07/09/2020,05/31/2021,07/09/2020,112-14 W HUBBARD ST,112,112-14,W,HUBBARD,ST,CHICAGO,IL,60654,42,46,42-46,18,41.890123005,-87.631684597,"(41.89012300513693, -87.63168459655718)"
1144331,423178,1,TS7 HOSPITALITY LLC,THE SMITH,02/25/2020,05/31/2021,02/25/2020,400-406 N CLARK ST,400,400-406,N,CLARK,ST,CHICAGO,,60654,42,32,42-32,18,41.889249802,-87.63120782,"(41.889249801888774, -87.63120782020108)"
1144333,351813,1,"MASTRO'S RESTAURANTS, LLC",MASTRO'S STEAKHOUSE,06/17/2020,05/31/2021,06/17/2020,520 N DEARBORN ST,520,520,N,DEARBORN,ST,CHICAGO,IL,60654,42,22,42-22,18,41.891601285,-87.629796705,"(41.8916012847535, -87.62979670523087)"
1144335,457593,1,ODA RESTAURANT LLC,ODA MEDITERRANEAN CUISINE,06/12/2020,05/31/2021,04/08/2020,5657-5659 N CLARK ST,5657,5657-5659,N,CLARK,ST,CHICAGO,,60660,48,37,48-37,20,41.984972169,-87.668928513,"(41.98497216927604, -87.66892851302207)"
1144336,243806,1,"LAWRY'S TAVERN, INC.",Max and Issy's,03/13/2020,05/31/2021,03/12/2020,1028 W DIVERSEY PKWY,1028,1028,W,DIVERSEY,PKWY,CHICAGO,IL,60614,44,40,44-40,19,41.932726771,-87.655041776,"(41.93272677149699, -87.65504177558735)"
1144337,23432,1,"BRISAS, INC.",LONGMAN & EAGLE,03/05/2020,05/31/2021,03/05/2020,2657 N KEDZIE AVE,2657,2657,N,KEDZIE,AVE,CHICAGO,IL,60647,32,7,32-7,14,41.930126115,-87.707230807,"(41.93012611532404, -87.7072308071835)"
1144338,386886,2,GOLDEN TEARDROPS LLC,GOLDEN TEARDROPS & LONESOME ROSE,03/13/2020,05/31/2021,03/05/2020,2101-2103 N CALIFORNIA AVE,2101,2101-2103,N,CALIFORNIA,AVE,CHICAGO,,60647,1,34,1-34,14,41.919646931,-87.697115663,"(41.919646930728995, -87.69711566287606)"
1144341,399290,2,"AUDIOLEAF SCHUBAS OPERATING I, LLC",Schubas Tavern,06/02/2020,05/31/2021,03/31/2020,3153 - 3159 N SOUTHPORT AVE,3153,3153 - 3159,N,SOUTHPORT,AVE,CHICAGO,,60657,32,7,32-7,19,41.939533581,-87.663666194,"(41.939533581366824, -87.66366619417107)"
1144342,14937,1,"JM CONCEPTS, INC.",OLD PUEBLO CANTINA,05/13/2020,05/31/2021,04/29/2020,1200-02 W WEBSTER AVE,1200,1200-02,W,WEBSTER,AVE,CHICAGO,IL,60614,43,47,43-47,18,41.921770491,-87.658398202,"(41.921770490640775, -87.65839820196524)"
1144344,18118,2,"JOY AND JOHN, INC.",JOYS,06/19/2020,05/31/2021,06/19/2020,3257-59 N BROADWAY,3257,3257-59,N,BROADWAY,,CHICAGO,IL,60657,44,46,44-46,19,41.941712903,-87.644306336,"(41.94171290343118, -87.64430633617879)"
1144345,323104,1,"VILLAGE RESTAURANTS, INC.",JOHN'S PLACE,03/04/2020,05/31/2021,03/02/2020,2132 W ROSCOE ST,2132,2132,W,ROSCOE,ST,CHICAGO,IL,60618,32,21,32-21,19,41.943280795,-87.682152982,"(41.94328079486431, -87.68215298235329)"
1144347,22928,7,"THE ANGEL'S SHARE, LTD.",KAISER TIGER,02/28/2020,05/31/2021,02/28/2020,1415 W RANDOLPH ST,1415,1415,W,RANDOLPH,ST,CHICAGO,IL,60607,27,7,27-7,12,41.884048725,-87.663056133,"(41.884048725151324, -87.66305613344618)"
1144348,50161,20,"LUMA, LLC",LOU MALNATI'S PIZZERIA,03/13/2020,05/31/2021,03/12/2020,439 N WELLS ST,439,439,N,WELLS,ST,CHICAGO,IL,60610,42,46,42-46,18,41.890314055,-87.633889126,"(41.89031405541385, -87.63388912638885)"
